"Proteins Unique Sequence ID"	"Accession"	"Abundances Normalized F7 Sample"	"Abundances Normalized F8 Sample"	"Found in Sample F7 Sample"	"Found in Sample F8 Sample"	"Abundance Ratio F7  F8"	"Abundance Ratio log2 F7  F8"	"Abundances Grouped F7"	"Abundances Grouped F8"
"-6301734583047269199"	"RSAN_054749.P62402"	"1812176.894362123"	" 1383440"	"High"	" High"	"1.310"	"0.39"	"1812176.894362123"	" 1383440"
"-6223007871345258539"	"RSAN_053082.P60199"	"36275.34431701779"	" 47805.3642578125"	"Peak Found"	" High"	"0.782"	"-0.35"	"36275.34431701779"	" 47805.3642578125"
"-6198151078658900396"	"RSAN_029658.P29582"	"1801680.5546933284"	" 1922145.4322916667"	"High"	" High"	"0.942"	"-0.09"	"1801680.5546933284"	" 1922145.4322916667"
"-6144042204920055027"	"RSAN_037443.P39816"	"37379.576044309084"	" 41036.068359375"	"Peak Found"	" Medium"	"0.907"	"-0.14"	"37379.576044309084"	" 41036.068359375"
"-6095311207329084988"	"RSAN_037023.P39267"	"67104.34299869034"	" 47305.55859375"	"High"	" High"	"1.419"	"0.50"	"67104.34299869034"	" 47305.55859375"
"-6008248466673353617"	"RSAN_031761.P32229"	"49305.969475106336"	" 53686.8515625"	"High"	" Peak Found"	"0.758"	"-0.40"	"49305.969475106336"	" 53686.8515625"
"-6007593482844422192"	"RSAN_037443.P39817"	"37379.576044309084"	" 41036.068359375"	"Peak Found"	" Medium"	"0.907"	"-0.14"	"37379.576044309084"	" 41036.068359375"
"-5991729361800777651"	"RSAN_039782.P42795"	"45377.864116700395"	" 54222.185546875"	"Peak Found"	" High"	"0.833"	"-0.26"	"45377.864116700395"	" 54222.185546875"
"-5934042270463362157"	"RSAN_049484.P55498"	"373229.16945141176"	" 343707.6354166667"	"High"	" High"	"1.030"	"0.04"	"373229.16945141176"	" 343707.6354166667"
"-5906105280283722144"	"RSAN_031541.P31934"	"49701.06848013629"	" 52177.31640625"	"Peak Found"	" High"	"0.912"	"-0.13"	"49701.06848013629"	" 52177.31640625"
"-5877137013120792227"	"RSAN_038768.P41546"	"27752370.422082853"	" 38890296.760416664"	"High"	" High"	"1.080"	"0.11"	"27752370.422082853"	" 38890296.760416664"
"-5874422454775748780"	"RSAN_031761.P32237"	"49305.969475106336"	" 53686.8515625"	"High"	" Peak Found"	"0.758"	"-0.40"	"49305.969475106336"	" 53686.8515625"
"-5776598005267150575"	"RSAN_056084.P64184"	"3325715.759026656"	" 2626823.2395833335"	"High"	" High"	"0.929"	"-0.11"	"3325715.759026656"	" 2626823.2395833335"
"-5774953336473140377"	"RSAN_033987.P35192"	"887738.8950533271"	" 588386.734375"	"High"	" High"	"0.936"	"-0.09"	"887738.8950533271"	" 588386.734375"
"-5746470953485282858"	"RSAN_045998.P50798"	"7165324.995172408"	" 8123339.419270833"	"High"	" High"	"0.979"	"-0.03"	"7165324.995172408"	" 8123339.419270833"
"-5736382239631723361"	"RSAN_047060.P52226"	"110141.50376144059"	" 72964.783203125"	"High"	" High"	"1.342"	"0.42"	"110141.50376144059"	" 72964.783203125"
"-5730271585332366445"	"RSAN_034919.P36405"	"217816.6987538972"	" 116236.79166666667"	"High"	" High"	"0.851"	"-0.23"	"217816.6987538972"	" 116236.79166666667"
"-5664595182927114289"	"RSAN_030561.P30738"	"248110.2249179027"	" 470018.1875"	"High"	" High"	"0.528"	"-0.92"	"248110.2249179027"	" 470018.1875"
"-5653699923185036519"	"RSAN_032023.P32625"	"44000.030904099985"	" 59557.576171875"	"Peak Found"	" High"	"0.792"	"-0.34"	"44000.030904099985"	" 59557.576171875"
"-5559155441404897974"	"RSAN_035178.P36731"	"4438887.431589802"	" 6600611.358072917"	"High"	" High"	"0.962"	"-0.06"	"4438887.431589802"	" 6600611.358072917"
"-5558719152921218573"	"RSAN_048071.P53575"	"424407.9842219835"	" 369627.8111979167"	"High"	" Peak Found"	"1.122"	"0.17"	"424407.9842219835"	" 369627.8111979167"
"-5534130032854531846"	"RSAN_054413.P61956"	"261357.63977757655"	" 346065.9016927083"	"High"	" High"	"0.870"	"-0.20"	"261357.63977757655"	" 346065.9016927083"
"-5505404055606422086"	"RSAN_054185.P61608"	"1882547.2942184496"	" 1033943.5052083334"	"High"	" High"	"1.084"	"0.12"	"1882547.2942184496"	" 1033943.5052083334"
"-5400546742959105730"	"RSAN_033312.P34322"	"88131.44054722194"	" 114977.04166666667"	"High"	" High"	"1.409"	"0.49"	"88131.44054722194"	" 114977.04166666667"
"-5373837780429244380"	"RSAN_047936.P53381"	"1607126.9935238657"	" 2020250.5442708333"	"High"	" High"	"1.085"	"0.12"	"1607126.9935238657"	" 2020250.5442708333"
"-5330124775694224263"	"RSAN_051192.P57689"	"155952.89622437418"	" 147285.80729166666"	"High"	" High"	"1.086"	"0.12"	"155952.89622437418"	" 147285.80729166666"
"-5302393710497568372"	"RSAN_031761.P32238"	"49305.969475106336"	" 53686.8515625"	"High"	" Peak Found"	"0.758"	"-0.40"	"49305.969475106336"	" 53686.8515625"
"-5295502622481592252"	"RSAN_048134.P53670"	"41327.72295257559"	" 48504.09765625"	"Peak Found"	" High"	"0.852"	"-0.23"	"41327.72295257559"	" 48504.09765625"
"-5288482952685829224"	"RSAN_054908.P62628"	"154092.11009128595"	" 171941.30989583334"	"High"	" High"	"0.918"	"-0.12"	"154092.11009128595"	" 171941.30989583334"
"-5283247082821912324"	"RSAN_027361.P26595"	"20550412.39033208"	" 6339712.036458333"	"High"	" High"	"1.088"	"0.12"	"20550412.39033208"	" 6339712.036458333"
"-5264079723546849834"	"RSAN_048045.P53518"	"13363301.307546295"	" 27530179.017578125"	"High"	" High"	"0.412"	"-1.28"	"13363301.307546295"	" 27530179.017578125"
"-5255625715771482423"	"RSAN_027361.P26597"	"20550412.39033208"	" 6339712.036458333"	"High"	" High"	"1.088"	"0.12"	"20550412.39033208"	" 6339712.036458333"
"-5251844369416526423"	"RSAN_028525.P28133"	"4053675.2823037794"	" 3015077.248046875"	"High"	" High"	"1.438"	"0.52"	"4053675.2823037794"	" 3015077.248046875"
"-5234267112724096732"	"RSAN_036675.P38737"	"71785.37626156215"	" 91627.94140625"	"Peak Found"	" High"	"0.976"	"-0.04"	"71785.37626156215"	" 91627.94140625"
"-5202238999080768764"	"RSAN_026845.P68077"	"66660.5736033109"	" 61691.632161458336"	"High"	" High"	"1.074"	"0.10"	"66660.5736033109"	" 61691.632161458336"
"-5150586441066629082"	"RSAN_052125.P58927"	"64946.91314127798"	" 46092.572265625"	"Peak Found"	" High"	"1.274"	"0.35"	"64946.91314127798"	" 46092.572265625"
"-5148888976212599660"	"RSAN_043602.P47700"	"338056.09773405554"	" 449293.4322916667"	"High"	" High"	"0.915"	"-0.13"	"338056.09773405554"	" 449293.4322916667"
"-5148441796475797605"	"RSAN_027858.P27283"	"415519.5704740008"	" 277784.4270833333"	"High"	" High"	"1.011"	"0.02"	"415519.5704740008"	" 277784.4270833333"
"-5132862485116420076"	"RSAN_057315.P65828"	"1208327.8212409515"	" 919116.4166666666"	"High"	" High"	"0.984"	"-0.02"	"1208327.8212409515"	" 919116.4166666666"
"-5082459725200544319"	"RSAN_047835.P53253"	"151409.21293092732"	" 207932.98046875"	"High"	" High"	"0.951"	"-0.07"	"151409.21293092732"	" 207932.98046875"
"-5081114980006307125"	"RSAN_045649.P50363"	"522425.1691738008"	" 530134.8932291666"	"High"	" High"	"0.911"	"-0.13"	"522425.1691738008"	" 530134.8932291666"
"-5057320755443987797"	"RSAN_057381.P65908"	"153853.00024165862"	" 165551.947265625"	"Peak Found"	" High"	"0.845"	"-0.24"	"153853.00024165862"	" 165551.947265625"
"-4999187541712472234"	"RSAN_035012.P36510"	"53972.06104678745"	" 70211.1875"	"Peak Found"	" High"	"0.783"	"-0.35"	"53972.06104678745"	" 70211.1875"
"-4945906091512176084"	"RSAN_041424.P44877"	"92583.01518042061"	" 57947.91015625"	"High"	" Peak Found"	"1.598"	"0.68"	"92583.01518042061"	" 57947.91015625"
"-4840937486281342098"	"RSAN_050657.P56997"	"157541.94858355206"	" 153292.513671875"	"High"	" High"	"1.118"	"0.16"	"157541.94858355206"	" 153292.513671875"
"-4826533894993786225"	"RSAN_052134.P58937"	"190415.08907220713"	" 58482.94140625"	"Peak Found"	" High"	"2.213"	"1.15"	"190415.08907220713"	" 58482.94140625"
"-4777704122136428550"	"RSAN_048071.P53557"	"397131.5029376543"	" 381587.9205729167"	"High"	" High"	"1.103"	"0.14"	"397131.5029376543"	" 381587.9205729167"
"-4765124906221915846"	"RSAN_036069.P37981"	"146756.98745095386"	" 80732.9921875"	"Peak Found"	" High"	"1.818"	"0.86"	"146756.98745095386"	" 80732.9921875"
"-4719395725254409947"	"RSAN_037572.P39978"	"112760.35509941874"	" 116801.19270833333"	"High"	" High"	"1.199"	"0.26"	"112760.35509941874"	" 116801.19270833333"
"-4552684734871686732"	"RSAN_044783.P49251"	"268167.04323407076"	" 100170.13020833333"	"High"	" High"	"1.111"	"0.15"	"268167.04323407076"	" 100170.13020833333"
"-4549538146435413761"	"RSAN_048071.P53563"	"424407.9842219835"	" 369627.8111979167"	"High"	" Peak Found"	"1.122"	"0.17"	"424407.9842219835"	" 369627.8111979167"
"-4517405521929868034"	"RSAN_046228.P51181"	"27693.024689359278"	" 38835.291015625"	"Peak Found"	" High"	"0.712"	"-0.49"	"27693.024689359278"	" 38835.291015625"
"-4462138089717117853"	"RSAN_041904.P45543"	"82806.43877452853"	" 118252.46484375"	"Peak Found"	" High"	"0.693"	"-0.53"	"82806.43877452853"	" 118252.46484375"
"-4428181725251318099"	"RSAN_045759.P50511"	"223359.5517262191"	" 209863.177734375"	"Peak Found"	" High"	"1.196"	"0.26"	"223359.5517262191"	" 209863.177734375"
"-4407446023933678560"	"RSAN_033410.P34465"	"44875.567424497654"	" 38808.73046875"	"Peak Found"	" High"	"1.156"	"0.21"	"44875.567424497654"	" 38808.73046875"
"-4385173374270796511"	"RSAN_027778.P27162"	"104565.51240540856"	" 79063.244140625"	"High"	" High"	"0.995"	"-0.01"	"104565.51240540856"	" 79063.244140625"
